a	b
33970.0	465
83123.0	466
50356.0	467
83129.0	468
33979.0	469
50363.0	470
17597.0	471
1215.0	472
33984.0	473
50370.0	474
33987.0	475
83139.0	476
50372.0	477
33990.0	478
66759.0	479
50377.0	480
17611.0	481
50380.0	482
50390.0	483
50391.0	484
83159.0	485
34011.0	486
66779.0	487
34012.0	488
17642.0	489
83187.0	490
66804.0	491
83192.0	492
17658.0	493
34045.0	494
1277.0	495
50431.0	496
1282.0	497
34050.0	498
66820.0	499
17667.0	500
50438.0	501
1287.0	502
83209.0	503
66826.0	504
83211.0	505
83213.0	506
83217.0	507
17683.0	508
66836.0	509
50453.0	510
66842.0	511
1313.0	512
50466.0	513
66853.0	514
1317.0	515
83237.0	516
83246.0	517
1327.0	518
50485.0	519
1336.0	520
1337.0	521
17721.0	522
34108.0	523
83267.0	524
34117.0	525
83270.0	526
1353.0	527
50507.0	528
34126.0	529
50510.0	530
83278.0	531
34129.0	532
17742.0	533
83280.0	534
66912.0	535
66914.0	536
34151.0	537
1386.0	538
17773.0	539
34159.0	540
34160.0	541
17777.0	542
66930.0	543
17781.0	544
66933.0	545
1397.0	546
83318.0	547
17783.0	548
34170.0	549
34171.0	550
34172.0	551
1404.0	552
1406.0	553
83324.0	554
66944.0	555
17789.0	556
50560.0	557
50564.0	558
83333.0	559
66952.0	560
83337.0	561
1420.0	562
66956.0	563
17804.0	564
50579.0	565
1428.0	566
83350.0	567
17816.0	568
1433.0	569
66970.0	570
1438.0	571
34213.0	572
66982.0	573
1447.0	574
50599.0	575
83372.0	576
66989.0	577
50606.0	578
1455.0	579
50610.0	580
34227.0	581
1459.0	582
50613.0	583
66999.0	584
34235.0	585
67003.0	586
1468.0	587
50623.0	588
1475.0	589
83395.0	590
50630.0	591
67018.0	592
83403.0	593
34255.0	594
1487.0	595
17873.0	596
34259.0	597
34260.0	598
83413.0	599
83425.0	600
83429.0	601
83431.0	602
67052.0	603
67054.0	604
83447.0	605
34296.0	606
34298.0	607
83455.0	608
67077.0	609
83461.0	610
1549.0	611
17936.0	612
17937.0	613
67089.0	614
83473.0	615
1556.0	616
67093.0	617
34329.0	618
50713.0	619
50714.0	620
50716.0	621
50719.0	622
17954.0	623
67107.0	624
1571.0	625
34341.0	626
17959.0	627
1576.0	628
34346.0	629
34347.0	630
67120.0	631
83506.0	632
1587.0	633
83512.0	634
83514.0	635
34362.0	636
17978.0	637
83517.0	638
1599.0	639
17983.0	640
1602.0	641
50756.0	642
34374.0	643
50760.0	644
1609.0	645
34379.0	646
17995.0	647
