a	b
1433.0	473
1434.0	474
66970.0	475
1438.0	476
34210.0	477
34212.0	478
34213.0	479
1447.0	480
66989.0	481
1455.0	482
1457.0	483
34226.0	484
34227.0	485
1459.0	486
34229.0	487
66999.0	488
34235.0	489
67003.0	490
1468.0	491
34237.0	492
1475.0	493
67018.0	494
1485.0	495
34255.0	496
1487.0	497
67025.0	498
34259.0	499
34260.0	500
34267.0	501
34277.0	502
67052.0	503
67054.0	504
34298.0	505
1531.0	506
34299.0	507
67068.0	508
67076.0	509
1540.0	510
67077.0	511
34311.0	512
34314.0	513
1549.0	514
1550.0	515
67089.0	516
1556.0	517
67093.0	518
67094.0	519
1562.0	520
67107.0	521
1571.0	522
34341.0	523
34343.0	524
1576.0	525
34346.0	526
34347.0	527
67120.0	528
34352.0	529
1587.0	530
34358.0	531
34362.0	532
1599.0	533
67135.0	534
1602.0	535
67140.0	536
1605.0	537
1609.0	538
34379.0	539
1619.0	540
34389.0	541
67160.0	542
1625.0	543
67161.0	544
67162.0	545
34404.0	546
1638.0	547
1645.0	548
67188.0	549
67194.0	550
1659.0	551
67195.0	552
67197.0	553
34426.0	554
34431.0	555
67205.0	556
1671.0	557
67210.0	558
34444.0	559
1676.0	560
1682.0	561
67225.0	562
34463.0	563
67235.0	564
67236.0	565
34485.0	566
67254.0	567
1717.0	568
34491.0	569
67260.0	570
67265.0	571
34497.0	572
1742.0	573
34511.0	574
1744.0	575
34520.0	576
1754.0	577
34522.0	578
67290.0	579
1755.0	580
67299.0	581
34534.0	582
67303.0	583
1770.0	584
34544.0	585
67330.0	586
34563.0	587
1799.0	588
67336.0	589
34571.0	590
67343.0	591
34580.0	592
67352.0	593
34586.0	594
1824.0	595
67360.0	596
67362.0	597
34595.0	598
1829.0	599
1833.0	600
1835.0	601
34603.0	602
67377.0	603
1849.0	604
67388.0	605
1852.0	606
1858.0	607
67400.0	608
1865.0	609
1866.0	610
1869.0	611
34644.0	612
1877.0	613
67418.0	614
34650.0	615
34654.0	616
34661.0	617
1897.0	618
1900.0	619
1901.0	620
34670.0	621
34671.0	622
34680.0	623
34689.0	624
34690.0	625
34693.0	626
1927.0	627
34698.0	628
67466.0	629
34700.0	630
1935.0	631
1936.0	632
34707.0	633
67475.0	634
34710.0	635
67480.0	636
67485.0	637
67486.0	638
67489.0	639
1959.0	640
34727.0	641
67497.0	642
67498.0	643
67503.0	644
67518.0	645
34755.0	646
67523.0	647
1990.0	648
1999.0	649
67546.0	650
34779.0	651
2010.0	652
2013.0	653
34785.0	654
2019.0	655
2024.0	656
67561.0	657
34796.0	658
34797.0	659
2035.0	660
34806.0	661
2041.0	662
67590.0	663
2055.0	664
67591.0	665
34825.0	666
34832.0	667
34833.0	668
2073.0	669
2077.0	670
2086.0	671
34855.0	672
67625.0	673
34858.0	674
34862.0	675
67632.0	676
2097.0	677
34872.0	678
34875.0	679
67645.0	680
2112.0	681
2114.0	682
2116.0	683
2119.0	684
34887.0	685
34889.0	686
67660.0	687
67662.0	688
34895.0	689
67664.0	690
34897.0	691
34900.0	692
34904.0	693
67673.0	694
67683.0	695
34916.0	696
2151.0	697
34920.0	698
34925.0	699
67698.0	700
2164.0	701
67700.0	702
34932.0	703
2165.0	704
2177.0	705
34947.0	706
34951.0	707
67725.0	708
2192.0	709
67732.0	710
67734.0	711
34977.0	712
34979.0	713
67749.0	714
34982.0	715
67757.0	716
2223.0	717
2224.0	718
34993.0	719
34996.0	720
2231.0	721
35000.0	722
67769.0	723
2234.0	724
35006.0	725
35009.0	726
67781.0	727
67789.0	728
67791.0	729
2256.0	730
67793.0	731
67797.0	732
2261.0	733
2266.0	734
2268.0	735
67809.0	736
67818.0	737
35053.0	738
2289.0	739
67825.0	740
67828.0	741
2293.0	742
67831.0	743
2298.0	744
2299.0	745
35074.0	746
35080.0	747
35090.0	748
2326.0	749
2327.0	750
67864.0	751
35101.0	752
35108.0	753
35109.0	754
35112.0	755
35117.0	756
2351.0	757
67889.0	758
2355.0	759
2357.0	760
2359.0	761
35133.0	762
2367.0	763
35136.0	764
2370.0	765
35146.0	766
35147.0	767
2380.0	768
67920.0	769
35154.0	770
2390.0	771
67928.0	772
2404.0	773
2405.0	774
67941.0	775
35172.0	776
35175.0	777
67949.0	778
2416.0	779
67953.0	780
35190.0	781
35191.0	782
67958.0	783
2425.0	784
67961.0	785
67963.0	786
35203.0	787
2442.0	788
2443.0	789
67979.0	790
67981.0	791
35214.0	792
35216.0	793
67987.0	794
2458.0	795
35232.0	796
2465.0	797
2467.0	798
35235.0	799
2470.0	800
68009.0	801
68013.0	802
2482.0	803
2487.0	804
35260.0	805
68030.0	806
35271.0	807
68039.0	808
2505.0	809
35273.0	810
2507.0	811
35276.0	812
68045.0	813
35275.0	814
35280.0	815
2512.0	816
68049.0	817
68052.0	818
68054.0	819
35287.0	820
68056.0	821
2523.0	822
2524.0	823
68061.0	824
2526.0	825
68059.0	826
2539.0	827
68076.0	828
2551.0	829
35323.0	830
35325.0	831
2559.0	832
68096.0	833
2560.0	834
68098.0	835
35330.0	836
2565.0	837
2570.0	838
68107.0	839
2576.0	840
35348.0	841
68122.0	842
2593.0	843
68131.0	844
2597.0	845
35367.0	846
35368.0	847
35372.0	848
68142.0	849
68143.0	850
68146.0	851
35385.0	852
2618.0	853
2619.0	854
35396.0	855
2628.0	856
35404.0	857
35405.0	858
2639.0	859
68177.0	860
68179.0	861
2644.0	862
35412.0	863
68183.0	864
35419.0	865
2654.0	866
68191.0	867
35429.0	868
2663.0	869
2664.0	870
68202.0	871
68203.0	872
35436.0	873
35437.0	874
35446.0	875
35448.0	876
68219.0	877
68220.0	878
68222.0	879
2688.0	880
35458.0	881
68230.0	882
2695.0	883
68231.0	884
2699.0	885
68238.0	886
2715.0	887
2718.0	888
35486.0	889
2722.0	890
35490.0	891
2728.0	892
35497.0	893
2729.0	894
68269.0	895
35503.0	896
2735.0	897
2737.0	898
35504.0	899
2740.0	900
68277.0	901
2747.0	902
68299.0	903
68300.0	904
68302.0	905
2774.0	906
68316.0	907
68317.0	908
68318.0	909
2786.0	910
68325.0	911
2794.0	912
68332.0	913
2797.0	914
2803.0	915
68342.0	916
35575.0	917
2808.0	918
35574.0	919
68363.0	920
35596.0	921
35598.0	922
2833.0	923
35610.0	924
2843.0	925
2847.0	926
2848.0	927
68387.0	928
2853.0	929
35627.0	930
35628.0	931
35630.0	932
35635.0	933
35638.0	934
68413.0	935
68415.0	936
2880.0	937
35650.0	938
68421.0	939
68427.0	940
68429.0	941
2895.0	942
35664.0	943
35666.0	944
68441.0	945
2908.0	946
2909.0	947
2910.0	948
68449.0	949
35698.0	950
2932.0	951
2933.0	952
35708.0	953
2942.0	954
68479.0	955
35714.0	956
68485.0	957
35718.0	958
35720.0	959
68508.0	960
35742.0	961
68514.0	962
2979.0	963
68517.0	964
68520.0	965
35761.0	966
2998.0	967
35768.0	968
3001.0	969
68538.0	970
3003.0	971
35774.0	972
3008.0	973
35777.0	974
35782.0	975
3016.0	976
3018.0	977
35786.0	978
68556.0	979
68565.0	980
68573.0	981
68575.0	982
68578.0	983
3048.0	984
35819.0	985
68588.0	986
35823.0	987
35825.0	988
3063.0	989
68602.0	990
68607.0	991
3079.0	992
35848.0	993
68617.0	994
68618.0	995
35852.0	996
3085.0	997
35856.0	998
68625.0	999
68624.0	1000
68627.0	1001
35862.0	1002
35865.0	1003
3100.0	1004
