a	b
66579.0	467
50194.0	468
17427.0	469
50208.0	470
50212.0	471
66602.0	472
17452.0	473
17453.0	474
82990.0	475
66609.0	476
1074.0	477
82995.0	478
82998.0	479
82999.0	480
66624.0	481
33862.0	482
83015.0	483
66632.0	484
83018.0	485
50251.0	486
50258.0	487
66643.0	488
17496.0	489
50264.0	490
33882.0	491
33883.0	492
33884.0	493
33885.0	494
50266.0	495
83034.0	496
50268.0	497
50271.0	498
83043.0	499
33893.0	500
1127.0	501
17513.0	502
66671.0	503
83058.0	504
17523.0	505
66677.0	506
66678.0	507
17525.0	508
1145.0	509
66683.0	510
17533.0	511
83070.0	512
66688.0	513
17539.0	514
33926.0	515
50310.0	516
1163.0	517
17548.0	518
1165.0	519
66702.0	520
1166.0	521
33934.0	522
1168.0	523
17549.0	524
1171.0	525
1175.0	526
50329.0	527
1178.0	528
83098.0	529
50331.0	530
66719.0	531
50337.0	532
17571.0	533
50346.0	534
83115.0	535
66733.0	536
83118.0	537
83119.0	538
50352.0	539
50356.0	540
83129.0	541
33979.0	542
50363.0	543
1215.0	544
33984.0	545
50370.0	546
33987.0	547
83139.0	548
50372.0	549
66759.0	550
50377.0	551
83146.0	552
17611.0	553
50380.0	554
34002.0	555
83158.0	556
50391.0	557
50390.0	558
66779.0	559
34012.0	560
34017.0	561
66787.0	562
66797.0	563
1267.0	564
66804.0	565
66805.0	566
83192.0	567
66810.0	568
1277.0	569
17662.0	570
1282.0	571
17667.0	572
66820.0	573
17671.0	574
1287.0	575
83209.0	576
83211.0	577
83218.0	578
17683.0	579
66836.0	580
50453.0	581
83224.0	582
66842.0	583
1313.0	584
66853.0	585
1318.0	586
83237.0	587
83246.0	588
1327.0	589
50485.0	590
1336.0	591
1337.0	592
50489.0	593
50490.0	594
17724.0	595
34113.0	596
83267.0	597
34117.0	598
83269.0	599
17734.0	600
83270.0	601
1353.0	602
1355.0	603
50507.0	604
1357.0	605
34126.0	606
50510.0	607
66896.0	608
34129.0	609
17742.0	610
83278.0	611
1364.0	612
83280.0	613
34144.0	614
66912.0	615
66914.0	616
83300.0	617
1381.0	618
1383.0	619
50540.0	620
17773.0	621
66930.0	622
34163.0	623
17779.0	624
17781.0	625
1397.0	626
83318.0	627
34168.0	628
17783.0	629
34170.0	630
34171.0	631
34172.0	632
66941.0	633
1406.0	634
17786.0	635
66944.0	636
34176.0	637
50554.0	638
83324.0	639
17789.0	640
1413.0	641
50560.0	642
50564.0	643
83337.0	644
1420.0	645
66956.0	646
17804.0	647
34192.0	648
1428.0	649
34196.0	650
17814.0	651
83350.0	652
17816.0	653
1433.0	654
1434.0	655
66970.0	656
50588.0	657
1438.0	658
17825.0	659
34212.0	660
34213.0	661
1447.0	662
34216.0	663
50599.0	664
50600.0	665
83372.0	666
66989.0	667
1455.0	668
50608.0	669
1457.0	670
50610.0	671
34227.0	672
1459.0	673
83380.0	674
50613.0	675
66999.0	676
34235.0	677
67003.0	678
1468.0	679
50623.0	680
1475.0	681
50630.0	682
67018.0	683
83403.0	684
34255.0	685
1487.0	686
17873.0	687
34259.0	688
34260.0	689
83413.0	690
83425.0	691
1507.0	692
83430.0	693
83431.0	694
50667.0	695
67052.0	696
67054.0	697
83438.0	698
1521.0	699
83447.0	700
34299.0	701
67068.0	702
50685.0	703
83455.0	704
17919.0	705
67076.0	706
83461.0	707
17928.0	708
34314.0	709
50700.0	710
1549.0	711
83471.0	712
17936.0	713
17937.0	714
67089.0	715
83473.0	716
1556.0	717
83474.0	718
50710.0	719
50713.0	720
50714.0	721
50717.0	722
50718.0	723
50719.0	724
17954.0	725
1571.0	726
34341.0	727
50726.0	728
17959.0	729
1576.0	730
34346.0	731
17967.0	732
67120.0	733
1587.0	734
50739.0	735
83512.0	736
34362.0	737
83517.0	738
1599.0	739
67135.0	740
17983.0	741
1602.0	742
67140.0	743
1605.0	744
50756.0	745
50760.0	746
1609.0	747
34379.0	748
17995.0	749
18002.0	750
50772.0	751
34389.0	752
18005.0	753
67161.0	754
1625.0	755
67162.0	756
18009.0	757
18014.0	758
50783.0	759
1632.0	760
83553.0	761
50792.0	762
18025.0	763
18026.0	764
1645.0	765
83565.0	766
83567.0	767
50800.0	768
67185.0	769
18034.0	770
83573.0	771
50806.0	772
18040.0	773
83577.0	774
67194.0	775
67195.0	776
83580.0	777
67197.0	778
34429.0	779
18043.0	780
83588.0	781
67205.0	782
34438.0	783
1671.0	784
83591.0	785
67210.0	786
18058.0	787
1676.0	788
34444.0	789
18063.0	790
83601.0	791
1682.0	792
83603.0	793
18068.0	794
50838.0	795
67225.0	796
18074.0	797
83610.0	798
34463.0	799
18079.0	800
83617.0	801
67235.0	802
67236.0	803
83619.0	804
83620.0	805
83624.0	806
50857.0	807
18088.0	808
18091.0	809
50861.0	810
50863.0	811
50867.0	812
83635.0	813
18103.0	814
34491.0	815
67260.0	816
83643.0	817
83647.0	818
67265.0	819
34497.0	820
50882.0	821
18117.0	822
83653.0	823
83656.0	824
83659.0	825
34511.0	826
83663.0	827
34520.0	828
18136.0	829
34522.0	830
67290.0	831
1755.0	832
50906.0	833
50911.0	834
67299.0	835
50915.0	836
50916.0	837
34534.0	838
18152.0	839
1770.0	840
34544.0	841
1777.0	842
18163.0	843
83708.0	844
18175.0	845
67329.0	846
67330.0	847
34563.0	848
1795.0	849
18178.0	850
50947.0	851
1799.0	852
83719.0	853
67336.0	854
50952.0	855
83727.0	856
50966.0	857
67352.0	858
18200.0	859
18204.0	860
1824.0	861
67362.0	862
1829.0	863
50984.0	864
1833.0	865
1835.0	866
18219.0	867
18222.0	868
67377.0	869
1849.0	870
18235.0	871
67388.0	872
1852.0	873
83772.0	874
1858.0	875
83782.0	876
67400.0	877
1865.0	878
1866.0	879
83784.0	880
1869.0	881
51028.0	882
51032.0	883
67418.0	884
34650.0	885
18268.0	886
51037.0	887
83805.0	888
34661.0	889
83814.0	890
18279.0	891
18280.0	892
1897.0	893
1900.0	894
1901.0	895
34670.0	896
34671.0	897
18285.0	898
83824.0	899
51059.0	900
18294.0	901
83833.0	902
51068.0	903
18302.0	904
18303.0	905
51071.0	906
51073.0	907
83844.0	908
34693.0	909
51076.0	910
34698.0	911
67466.0	912
34700.0	913
18314.0	914
1935.0	915
1936.0	916
67475.0	917
83859.0	918
34710.0	919
67480.0	920
67485.0	921
67486.0	922
18333.0	923
67489.0	924
18341.0	925
1959.0	926
34727.0	927
67497.0	928
83882.0	929
83885.0	930
67503.0	931
51122.0	932
51127.0	933
83899.0	934
18363.0	935
83901.0	936
67518.0	937
83903.0	938
34755.0	939
67523.0	940
83909.0	941
83918.0	942
1999.0	943
51156.0	944
51160.0	945
18393.0	946
2010.0	947
34779.0	948
18396.0	949
2019.0	950
51174.0	951
34796.0	952
34797.0	953
83954.0	954
2035.0	955
34806.0	956
2041.0	957
83964.0	958
51200.0	959
18434.0	960
2055.0	961
51211.0	962
83982.0	963
51215.0	964
34833.0	965
83989.0	966
51224.0	967
2073.0	968
18458.0	969
2077.0	970
18461.0	971
34855.0	972
67625.0	973
34858.0	974
18474.0	975
18475.0	976
51243.0	977
34862.0	978
67632.0	979
51249.0	980
84018.0	981
34872.0	982
84024.0	983
34875.0	984
84029.0	985
18494.0	986
84031.0	987
2112.0	988
84033.0	989
2114.0	990
2116.0	991
84036.0	992
18500.0	993
2119.0	994
34887.0	995
18507.0	996
67660.0	997
18511.0	998
34900.0	999
34904.0	1000
67673.0	1001
51289.0	1002
2144.0	1003
84065.0	1004
18529.0	1005
67683.0	1006
51297.0	1007
34920.0	1008
34925.0	1009
67698.0	1010
2164.0	1011
67700.0	1012
34932.0	1013
51324.0	1014
84093.0	1015
2177.0	1016
2178.0	1017
2179.0	1018
34947.0	1019
51331.0	1020
18564.0	1021
34951.0	1022
18566.0	1023
84103.0	1024
18571.0	1025
51340.0	1026
67725.0	1027
2192.0	1028
84128.0	1029
34977.0	1030
51360.0	1031
34979.0	1032
67749.0	1033
51366.0	1034
34987.0	1035
67757.0	1036
84143.0	1037
2224.0	1038
34993.0	1039
34996.0	1040
2231.0	1041
35000.0	1042
67769.0	1043
35006.0	1044
18624.0	1045
35009.0	1046
84162.0	1047
84166.0	1048
51402.0	1049
67789.0	1050
84174.0	1051
67793.0	1052
18643.0	1053
67797.0	1054
2261.0	1055
18646.0	1056
18648.0	1057
84185.0	1058
2268.0	1059
51420.0	1060
84190.0	1061
2275.0	1062
18660.0	1063
18661.0	1064
51432.0	1065
67818.0	1066
51435.0	1067
18666.0	1068
84203.0	1069
51438.0	1070
67825.0	1071
18676.0	1072
2293.0	1073
67831.0	1074
84217.0	1075
2298.0	1076
2299.0	1077
84218.0	1078
35074.0	1079
51462.0	1080
35080.0	1081
51471.0	1082
35090.0	1083
18706.0	1084
84242.0	1085
2326.0	1086
2327.0	1087
35101.0	1088
84256.0	1089
35108.0	1090
35109.0	1091
35112.0	1092
51498.0	1093
2355.0	1094
35123.0	1095
2357.0	1096
84277.0	1097
2359.0	1098
84279.0	1099
18748.0	1100
35133.0	1101
51517.0	1102
2367.0	1103
35136.0	1104
18750.0	1105
2370.0	1106
51519.0	1107
51521.0	1108
84292.0	1109
35146.0	1110
84301.0	1111
51535.0	1112
84304.0	1113
35154.0	1114
51539.0	1115
2390.0	1116
67928.0	1117
51544.0	1118
84314.0	1119
84321.0	1120
51554.0	1121
2405.0	1122
84325.0	1123
18791.0	1124
84326.0	1125
51561.0	1126
51563.0	1127
18795.0	1128
18799.0	1129
2416.0	1130
67953.0	1131
51568.0	1132
18801.0	1133
35190.0	1134
35191.0	1135
51574.0	1136
2425.0	1137
67961.0	1138
67963.0	1139
84346.0	1140
18810.0	1141
18813.0	1142
35203.0	1143
18823.0	1144
18825.0	1145
2442.0	1146
2443.0	1147
51596.0	1148
67979.0	1149
18828.0	1150
67987.0	1151
18839.0	1152
2458.0	1153
51613.0	1154
35232.0	1155
2465.0	1156
35235.0	1157
84390.0	1158
2470.0	1159
51629.0	1160
18861.0	1161
35247.0	1162
51630.0	1163
84400.0	1164
18868.0	1165
18870.0	1166
2487.0	1167
84409.0	1168
51643.0	1169
35260.0	1170
84416.0	1171
84420.0	1172
84422.0	1173
68039.0	1174
84424.0	1175
35273.0	1176
2507.0	1177
35275.0	1178
68045.0	1179
18893.0	1180
2512.0	1181
51664.0	1182
84433.0	1183
84432.0	1184
68052.0	1185
51668.0	1186
84438.0	1187
35287.0	1188
68056.0	1189
84440.0	1190
2523.0	1191
18907.0	1192
68061.0	1193
2526.0	1194
84443.0	1195
84444.0	1196
18914.0	1197
84451.0	1198
2532.0	1199
51683.0	1200
2539.0	1201
68076.0	1202
51694.0	1203
84465.0	1204
18933.0	1205
2551.0	1206
18936.0	1207
35323.0	1208
35325.0	1209
68098.0	1210
35330.0	1211
18946.0	1212
2565.0	1213
2576.0	1214
51729.0	1215
18963.0	1216
84501.0	1217
51735.0	1218
68122.0	1219
84510.0	1220
18976.0	1221
2593.0	1222
84515.0	1223
2597.0	1224
35367.0	1225
35368.0	1226
84525.0	1227
18989.0	1228
84527.0	1229
18992.0	1230
68146.0	1231
68149.0	1232
35385.0	1233
2618.0	1234
2619.0	1235
19001.0	1236
51773.0	1237
51775.0	1238
51778.0	1239
35396.0	1240
84549.0	1241
84552.0	1242
35404.0	1243
35405.0	1244
19020.0	1245
68177.0	1246
84561.0	1247
68179.0	1248
35412.0	1249
68183.0	1250
51799.0	1251
19031.0	1252
68191.0	1253
35429.0	1254
19045.0	1255
2663.0	1256
2664.0	1257
84582.0	1258
68202.0	1259
68203.0	1260
35436.0	1261
35437.0	1262
51814.0	1263
35446.0	1264
19062.0	1265
35448.0	1266
68219.0	1267
19068.0	1268
2688.0	1269
35458.0	1270
51844.0	1271
84613.0	1272
84612.0	1273
2695.0	1274
68231.0	1275
2696.0	1276
51847.0	1277
2699.0	1278
68238.0	1279
19095.0	1280
84633.0	1281
2715.0	1282
19101.0	1283
2718.0	1284
51873.0	1285
2722.0	1286
35490.0	1287
84643.0	1288
84646.0	1289
2729.0	1290
19113.0	1291
84652.0	1292
68269.0	1293
84654.0	1294
35503.0	1295
2736.0	1296
2737.0	1297
2735.0	1298
35504.0	1299
2740.0	1300
68277.0	1301
84660.0	1302
51894.0	1303
2747.0	1304
51900.0	1305
84670.0	1306
84674.0	1307
84680.0	1308
19146.0	1309
51919.0	1310
2774.0	1311
84696.0	1312
84697.0	1313
51928.0	1314
68317.0	1315
68318.0	1316
84707.0	1317
68325.0	1318
51943.0	1319
2794.0	1320
51946.0	1321
84718.0	1322
51950.0	1323
2803.0	1324
51955.0	1325
19188.0	1326
35574.0	1327
84726.0	1328
2808.0	1329
84728.0	1330
2819.0	1331
19204.0	1332
84739.0	1333
51973.0	1334
84743.0	1335
35596.0	1336
51989.0	1337
35610.0	1338
2847.0	1339
2848.0	1340
84767.0	1341
68387.0	1342
19238.0	1343
52008.0	1344
35627.0	1345
19243.0	1346
52012.0	1347
35630.0	1348
52018.0	1349
35635.0	1350
19253.0	1351
35638.0	1352
52022.0	1353
68413.0	1354
68415.0	1355
2880.0	1356
52032.0	1357
35650.0	1358
68421.0	1359
52039.0	1360
84807.0	1361
68427.0	1362
19276.0	1363
68429.0	1364
84813.0	1365
2895.0	1366
35664.0	1367
84817.0	1368
2898.0	1369
35666.0	1370
68439.0	1371
68441.0	1372
19289.0	1373
2908.0	1374
2909.0	1375
84831.0	1376
19301.0	1377
52070.0	1378
52071.0	1379
19305.0	1380
52076.0	1381
19309.0	1382
19310.0	1383
84846.0	1384
52081.0	1385
35698.0	1386
19315.0	1387
2932.0	1388
52085.0	1389
84853.0	1390
52087.0	1391
19317.0	1392
35708.0	1393
2942.0	1394
68479.0	1395
19329.0	1396
19331.0	1397
68485.0	1398
35718.0	1399
35720.0	1400
2956.0	1401
84880.0	1402
84883.0	1403
19348.0	1404
19350.0	1405
68508.0	1406
84895.0	1407
68514.0	1408
2979.0	1409
84899.0	1410
84901.0	1411
52134.0	1412
35751.0	1413
35760.0	1414
52145.0	1415
35761.0	1416
19381.0	1417
35768.0	1418
3001.0	1419
84920.0	1420
3003.0	1421
35774.0	1422
3008.0	1423
52160.0	1424
52163.0	1425
35782.0	1426
3016.0	1427
19400.0	1428
3018.0	1429
35786.0	1430
68556.0	1431
19401.0	1432
52174.0	1433
52169.0	1434
68565.0	1435
19413.0	1436
3033.0	1437
19417.0	1438
68573.0	1439
68578.0	1440
19431.0	1441
3048.0	1442
52201.0	1443
68588.0	1444
52206.0	1445
68592.0	1446
19446.0	1447
3063.0	1448
52215.0	1449
19449.0	1450
84991.0	1451
19461.0	1452
3079.0	1453
35848.0	1454
68618.0	1455
35852.0	1456
3085.0	1457
52239.0	1458
68624.0	1459
19473.0	1460
52243.0	1461
19476.0	1462
85011.0	1463
35862.0	1464
3100.0	1465
52252.0	1466
35872.0	1467
35875.0	1468
68647.0	1469
52263.0	1470
19496.0	1471
68650.0	1472
3115.0	1473
68651.0	1474
19498.0	1475
52270.0	1476
52274.0	1477
85042.0	1478
85046.0	1479
68663.0	1480
35895.0	1481
19511.0	1482
35902.0	1483
52288.0	1484
35908.0	1485
52293.0	1486
3144.0	1487
35917.0	1488
3150.0	1489
35923.0	1490
52308.0	1491
19540.0	1492
19544.0	1493
19545.0	1494
52313.0	1495
3163.0	1496
19548.0	1497
35934.0	1498
68702.0	1499
68703.0	1500
68705.0	1501
19551.0	1502
85093.0	1503
19558.0	1504
68715.0	1505
35955.0	1506
52342.0	1507
68732.0	1508
85116.0	1509
52350.0	1510
19587.0	1511
19589.0	1512
19592.0	1513
35976.0	1514
35978.0	1515
68744.0	1516
35979.0	1517
3212.0	1518
68748.0	1519
85137.0	1520
85142.0	1521
68760.0	1522
3225.0	1523
19612.0	1524
52380.0	1525
3234.0	1526
85155.0	1527
3236.0	1528
52390.0	1529
68775.0	1530
85159.0	1531
68777.0	1532
36010.0	1533
52391.0	1534
36013.0	1535
19632.0	1536
3249.0	1537
36017.0	1538
85169.0	1539
85172.0	1540
36024.0	1541
85176.0	1542
85177.0	1543
3263.0	1544
52417.0	1545
85186.0	1546
36037.0	1547
68805.0	1548
3273.0	1549
85197.0	1550
3280.0	1551
52433.0	1552
19666.0	1553
19668.0	1554
3285.0	1555
85207.0	1556
85208.0	1557
52441.0	1558
3291.0	1559
52445.0	1560
36064.0	1561
3297.0	1562
68833.0	1563
52449.0	1564
19685.0	1565
3302.0	1566
52454.0	1567
19687.0	1568
3309.0	1569
19693.0	1570
68850.0	1571
3318.0	1572
68859.0	1573
19708.0	1574
36093.0	1575
19710.0	1576
3332.0	1577
52485.0	1578
68872.0	1579
85256.0	1580
68880.0	1581
85264.0	1582
19729.0	1583
19730.0	1584
52505.0	1585
52510.0	1586
85283.0	1587
36134.0	1588
85286.0	1589
3368.0	1590
52519.0	1591
3370.0	1592
19753.0	1593
3375.0	1594
36145.0	1595
3378.0	1596
52530.0	1597
3384.0	1598
3385.0	1599
52538.0	1600
85307.0	1601
85309.0	1602
36163.0	1603
19780.0	1604
19782.0	1605
36167.0	1606
36168.0	1607
68938.0	1608
68940.0	1609
36173.0	1610
68941.0	1611
