gene1,gene2,class,cancer
BRCA1,LMLN,1,BRCA
DDX10,WRN,1,BRCA
CFL2,PTEN,1,BRCA
ABCC4,MET,1,BRCA
CCT2,ERCC4,0,BRCA
PARP1,XAB2,1,BRCA
BRCA1,HSPB6,1,BRCA
AMACR,PTEN,1,BRCA
FBXO32,TP53,1,BRCA
BRCA2,LMO2,0,BRCA
AVPR2,BRCA1,1,BRCA
MCPH1,MLL3,1,BRCA
BRCA2,NOTCH2,1,BRCA
MAP3K1,NDRG1,0,BRCA
GTF2H3,PARP1,1,BRCA
PARP1,PMVK,1,BRCA
CCND2,JAK2,1,BRCA
MAP2K4,MLLT4,1,BRCA
AKAP8,TP53,1,BRCA
MEN1,MITF,1,BRCA
CDK6,PARP1,0,BRCA
BRCA1,COMMD5,1,BRCA
FHIT,PER1,0,BRCA
DHRS13,HERPUD1,0,BRCA
MAST2,PARP1,0,BRCA
BRCA2,NR4A3,1,BRCA
BMPR1A,PARP1,0,BRCA
BRCA1,DENND3,1,BRCA
BRCA2,NLGN3,1,BRCA
DDX10,EXT1,1,BRCA
NACAP1,TP53,1,BRCA
BRCA2,MET,1,BRCA
BRCA1,SPATA16,1,BRCA
FHIT,NFKB2,0,BRCA
BRCA1,YEATS4,1,BRCA
BRCA1,CTAG2,1,BRCA
ELK4,KRAS,1,BRCA
CDH1,FLI1,0,BRCA
CKS2,PARP1,0,BRCA
CREBBP,PBX1,0,BRCA
PPARA,RPL22,0,BRCA
MAP2K4,RPL22,0,BRCA
BRCA2,CNTLN,1,BRCA
NARS2,NDRG1,0,BRCA
ATM,GDF7,1,BRCA
PTEN,TRDN,1,BRCA
BRCA1,MRPL47,1,BRCA
ACTL6A,BRCA1,1,BRCA
MAP3K1,SUFU,1,BRCA
TNFSF10,TP53,1,BRCA
LMO2,MITF,0,BRCA
PIK3C3,PTPN13,0,BRCA
CCND2,MEN1,1,BRCA
NARS2,NOTCH2,1,BRCA
NF1,PPARA,0,BRCA
CLDN11,TP53,1,BRCA
FH,PPARA,1,BRCA
BRCA2,SLC7A13,1,BRCA
PNMA1,PTEN,1,BRCA
KIAA0196,TP53,1,BRCA
DDB2,PARP1,0,BRCA
LMO2,MLL5,0,BRCA
GUK1,PARP1,0,BRCA
FBN1,MCPH1,1,BRCA
DDB2,FLI1,1,BRCA
MEN1,NFKB2,1,BRCA
MAML2,TRIP11,0,BRCA
FAM163A,PTEN,1,BRCA
GDF7,PTEN,1,BRCA
DUSP7,PARP1,0,BRCA
ARFGAP1,BRCA1,1,BRCA
BRCA1,DNAJB1,1,BRCA
PTEN,SERPINB11,1,BRCA
BRCA2,HERC3,1,BRCA
CDKN1C,PARP1,0,BRCA
MLL5,MLL5,0,BRCA
BRCA1,SS18L1,1,BRCA
BRCA2,TAS2R38,1,BRCA
MAP3K1,MLH1,0,BRCA
ARC,BRCA1,1,BRCA
JAK2,NARS2,1,BRCA
BRCA1,CDH26,1,BRCA
BRCA1,P2RY13,1,BRCA
CANT1,NARS2,1,BRCA
PTEN,SGK1,1,BRCA
MAP3K1,MITF,0,BRCA
GAP43,PARP1,0,BRCA
ABCC4,ARHGEF12,0,BRCA
CCND2,MAP2K4,1,BRCA
BRCA1,GPR160,1,BRCA
BRCA2,NDRG1,0,BRCA
BIRC3,PBX1,1,BRCA
CANT1,CCND2,0,BRCA
HERPUD1,MLL5,0,BRCA
PTEN,ZNF511,1,BRCA
BRIP1,JAK2,1,BRCA
BRCA1,KHDRBS3,1,BRCA
MLL3,PPARA,0,BRCA
CANT1,NDRG1,0,BRCA
DDX10,NDRG1,0,BRCA
PARP1,PRKACA,0,BRCA
ATM,P2RY1,1,BRCA
PIK3C3,SDHB,1,BRCA
BRCA1,PYCRL,1,BRCA
MCPH1,PIK3R1,1,BRCA
MEN1,RPL22,1,BRCA
MAP2K4,MLL3,1,BRCA
