gene1,gene2,class,cancer
FBXW12,MUS81,0,COAD
ADO,KRAS,0,COAD
HPCAL4,PTEN,0,COAD
BLM,YTHDF1,0,COAD
FCRL5,PTTG1,0,COAD
BLM,CLIC5,0,COAD
MUS81,RPLP2,0,COAD
DOCK7,MUS81,0,COAD
BLM,VPREB1,0,COAD
CPNE9,KRAS,0,COAD
PTEN,SFRS11,0,COAD
BACH2,PTTG1,0,COAD
C6orf221,KRAS,0,COAD
BLM,SERPINB5,0,COAD
KRAS,NFXL1,0,COAD
PTEN,TNFRSF21,0,COAD
PTEN,SLC34A2,0,COAD
PTTG1,SOCS7,0,COAD
PPP1R15B,PTEN,0,COAD
PTEN,ZPLD1,0,COAD
BLM,ZNF667,0,COAD
PTTG1,ST8SIA3,0,COAD
C6orf10,PTTG1,0,COAD
PTEN,TAS2R41,0,COAD
GDF11,KRAS,0,COAD
PTEN,ZNF566,0,COAD
ABHD12,MUS81,0,COAD
BLM,CREB3,0,COAD
HDAC10,SMARCD2,0,COAD
LARS2,PTTG1,0,COAD
KRAS,SERAC1,0,COAD
BLM,ZNF295,1,COAD
ILK,MUS81,0,COAD
CACNA1H,PTEN,0,COAD
CYC1,PTTG1,1,COAD
ATP6V1C1,MUS81,0,COAD
KLHL1,MUS81,0,COAD
GEM,MUS81,0,COAD
BLM,VPS29,0,COAD
CHAF1A,INTS12,0,COAD
KRAS,YOD1,0,COAD
KLF10,MUS81,0,COAD
KRAS,TOMM6,0,COAD
MUS81,PTOV1,0,COAD
PTTG1,TRAM2,0,COAD
KRAS,RBPMS,0,COAD
PTTG1,SIGLEC5,0,COAD
FAM83A,KRAS,0,COAD
MYF5,PTTG1,0,COAD
BLM,BRP44,0,COAD
MUS81,SEC14L2,0,COAD
KLK11,PTTG1,0,COAD
C1orf116,KRAS,0,COAD
MUS81,TRADD,0,COAD
KRAS,MTMR15,0,COAD
DNTTIP2,PTEN,0,COAD
KRAS,TECTA,0,COAD
HP1BP3,SMARCD2,0,COAD
CBX4,MUM1L1,0,COAD
BLM,GABBR2,0,COAD
MUS81,NEK10,0,COAD
PLD2,PTTG1,0,COAD
SETD8,TRERF1,0,COAD
ATP6V1E2,PTEN,0,COAD
PTTG1,ZNF654,0,COAD
ID2,KRAS,0,COAD
POM121,PTTG1,0,COAD
C10orf72,MUS81,0,COAD
CCL14,KRAS,0,COAD
C20orf79,PTEN,0,COAD
PRKAG1,PTEN,0,COAD
KRAS,TUBA3E,0,COAD
PTEN,TAS2R50,0,COAD
BLM,RUVBL2,0,COAD
KRAS,MCM7,0,COAD
PTEN,UNKL,0,COAD
MUS81,TRPV6,0,COAD
KRAS,NFE2L3,0,COAD
BLM,FKBP1A,0,COAD
BLM,FAM18B,0,COAD
KRAS,PANX3,0,COAD
APEX2,BLM,0,COAD
MUS81,PDSS2,0,COAD
PTEN,TSG101,0,COAD
BLM,ZFP1,0,COAD
BLM,SLC3A2,0,COAD
KCNK18,PTTG1,0,COAD
KRAS,RBP1,0,COAD
KIF27,KRAS,0,COAD
HIST1H3I,PTEN,0,COAD
LRRC48,MUS81,0,COAD
KRAS,METT10D,0,COAD
CDH2,PTEN,0,COAD
KRAS,RECQL5,0,COAD
BLM,TRIM14,0,COAD
ACTR8,SMARCD2,0,COAD
MUS81,QDPR,0,COAD
CYP2C9,KRAS,0,COAD
PTTG1,TOB2,0,COAD
PTTG1,RRAD,0,COAD
KRAS,POU2F1,0,COAD
FAM113B,MUS81,0,COAD
BLM,ZNF254,0,COAD
KRAS,MARCO,0,COAD
CBX4,KDM3B,0,COAD
LCN10,PTEN,0,COAD
C1orf159,KRAS,0,COAD
KRAS,SNX21,0,COAD
BLM,GEMIN5,0,COAD
KRAS,ST6GAL2,0,COAD
INF2,PTEN,0,COAD
CNIH,PTEN,0,COAD
BLM,SLC16A2,0,COAD
PTEN,RPL38,0,COAD
BLM,STARD10,0,COAD
PARVA,PTEN,0,COAD
PTEN,XPNPEP2,0,COAD
BLM,ZC4H2,0,COAD
PTEN,ZNF260,0,COAD
KRAS,PIWIL1,0,COAD
PTEN,SLC22A16,0,COAD
C9orf100,MUS81,0,COAD
CBX4,FBXO10,0,COAD
LONRF3,PTEN,0,COAD
BLM,CTNNA3,0,COAD
PTEN,SLC16A11,0,COAD
NAGLU,PTTG1,0,COAD
FLG2,KRAS,0,COAD
MUS81,NDUFS5,0,COAD
PTEN,SOHLH1,0,COAD
PRDM4,SMARCA1,0,COAD
MUS81,RHOC,0,COAD
GLRA4,KRAS,0,COAD
PTTG1,RPS23,0,COAD
PTEN,TBX4,0,COAD
MUS81,TRDN,0,COAD
KRAS,OR5AS1,0,COAD
MX1,PTEN,0,COAD
AKAP8L,KRAS,0,COAD
PTTG1,STIM2,0,COAD
PTTG1,SLC30A6,0,COAD
KRAS,NOL11,0,COAD
PTTG1,ZNF677,0,COAD
MUS81,SARNP,0,COAD
KRAS,SLC4A1,0,COAD
PRAMEF2,PTTG1,0,COAD
MCHR1,MUS81,0,COAD
MUS81,NOC2L,0,COAD
ABHD12B,MUS81,0,COAD
CHRNA2,PTEN,0,COAD
CCDC138,MUS81,0,COAD
FAM172A,PTTG1,0,COAD
KRAS,LRRC16B,0,COAD
DIO2,PTTG1,0,COAD
FNBP1L,MUS81,0,COAD
PAPPA2,PTTG1,0,COAD
FOXP2,PTTG1,0,COAD
PTEN,ZDHHC21,0,COAD
ATP13A2,BLM,0,COAD
PLUNC,PTTG1,0,COAD
PTTG1,SOX14,0,COAD
PTEN,ZDHHC9,0,COAD
FABP5,PTEN,0,COAD
PDGFA,PTTG1,0,COAD
FOXD4L1,PTTG1,0,COAD
ITGAV,MUS81,0,COAD
COX7B2,KRAS,0,COAD
JOSD1,KRAS,0,COAD
BLM,HIGD1A,0,COAD
BLM,CES8,0,COAD
BLM,LIPI,0,COAD
C14orf149,PTEN,0,COAD
EIF4E,MUS81,0,COAD
ATP11A,KRAS,0,COAD
ANKRD53,PTEN,0,COAD
ATE1,KRAS,0,COAD
PTTG1,SEC63,0,COAD
CTNS,PTEN,0,COAD
OR5M1,PTTG1,0,COAD
DCD,KRAS,0,COAD
DNMT1,SMARCA1,0,COAD
PTEN,TUBGCP4,0,COAD
BLM,PCDHGA10,0,COAD
KRAS,PLA2G4C,0,COAD
PTTG1,SYT9,0,COAD
MUS81,PRPF6,0,COAD
MUS81,RBM43,0,COAD
RUVBL1,SMARCA2,0,COAD
PTEN,SNRNP25,0,COAD
CA4,MUS81,0,COAD
PITRM1,PTEN,1,COAD
CUTC,KRAS,0,COAD
ADPGK,PTEN,0,COAD
IQCF1,KRAS,0,COAD
NXPH4,PTEN,0,COAD
KRAS,OBFC1,0,COAD
IFT46,KRAS,0,COAD
KRAS,OR2L8,0,COAD
BTBD7,PTTG1,0,COAD
ADAM33,PTEN,0,COAD
PDLIM5,PTEN,0,COAD
FLYWCH1,PTTG1,0,COAD
CCDC116,PTEN,0,COAD
BLM,ZSWIM1,0,COAD
ANKRD9,KRAS,0,COAD
BLM,GABRB1,0,COAD
COL9A3,MUS81,0,COAD
BLM,SLC37A3,0,COAD
PTTG1,TCN1,0,COAD
MUS81,OAS1,0,COAD
BSND,MUS81,0,COAD
L1CAM,PTTG1,0,COAD
GYLTL1B,MUS81,0,COAD
FAM120B,PTEN,0,COAD
CRHR1,KRAS,0,COAD
FASTKD2,KRAS,0,COAD
MESP2,MUS81,0,COAD
PTTG1,RARB,0,COAD
MRPS11,MUS81,0,COAD
KRAS,OR5M8,0,COAD
ARMC2,KRAS,0,COAD
KRAS,MAP4K4,0,COAD
PTEN,XPR1,0,COAD
GTF2F2,PTTG1,0,COAD
PTEN,TIMP3,0,COAD
PHF8,PTTG1,0,COAD
KIR2DS4,MUS81,0,COAD
LMO7,PTEN,0,COAD
PTEN,TSPAN31,0,COAD
JARID2,SMARCD2,0,COAD
FKRP,MUS81,0,COAD
MYEF2,PTTG1,0,COAD
KRAS,LINC00284,0,COAD
ETFDH,PTEN,0,COAD
CASP6,KRAS,0,COAD
KRAS,NOS1,0,COAD
DNAJC17,PTEN,0,COAD
KRAS,OR6T1,0,COAD
BLM,CPXM1,0,COAD
CBX4,CHD4,0,COAD
PTEN,UROS,0,COAD
AVPR1A,PTTG1,0,COAD
HRH3,MUS81,0,COAD
BLM,E2F5,0,COAD
PTEN,THSD1,0,COAD
MUS81,NOB1,0,COAD
CNOT3,PTTG1,0,COAD
PTTG1,SLC18A2,0,COAD
CBX4,PHF1,0,COAD
BSN,KRAS,0,COAD
AP2M1,PTEN,0,COAD
IL10RB,KRAS,0,COAD
CPT1B,MUS81,0,COAD
ETV3,PTTG1,0,COAD
DPF2,PHF11,0,COAD
APC,BLM,0,COAD
KRAS,MTRR,0,COAD
GNS,KRAS,0,COAD
OPRM1,PTEN,0,COAD
D2HGDH,KRAS,0,COAD
DMAP1,PHF14,0,COAD
KCNS1,MUS81,0,COAD
KRAS,NXNL2,0,COAD
BLM,GTF3C1,0,COAD
MTA2,PHF3,0,COAD
BLM,RPL24,0,COAD
MDH1,PTTG1,0,COAD
PPHLN1,PTTG1,0,COAD
MUS81,NOTCH3,0,COAD
PLGLB2,PTEN,0,COAD
CRTC3,PTEN,0,COAD
C9orf96,KRAS,0,COAD
MUS81,PCBP3,0,COAD
FAM5C,PTEN,0,COAD
KRAS,RAB1B,0,COAD
BLM,RHOBTB1,0,COAD
CHAF1A,KAT2B,0,COAD
BLM,TRADD,0,COAD
IRF8,KRAS,0,COAD
MUS81,NMI,0,COAD
AMTN,KRAS,0,COAD
BLM,PON2,0,COAD
PTTG1,ZDHHC15,0,COAD
PPP2R5A,PTTG1,0,COAD
CEBPA,PTEN,0,COAD
MUS81,PMPCA,0,COAD
N4BP1,PTEN,0,COAD
BMX,MUS81,0,COAD
BLM,TCOF1,0,COAD
DDX27,PTEN,0,COAD
CLDN9,PTTG1,0,COAD
BLM,GAS2,0,COAD
KRAS,LINC00635,0,COAD
KRAS,RANBP10,0,COAD
CREB3L4,KRAS,0,COAD
C11orf17,KRAS,0,COAD
BLM,C2orf3,0,COAD
PTMA,PTTG1,0,COAD
CLDND1,KRAS,0,COAD
FSTL1,PTTG1,0,COAD
MUS81,TIGD1,0,COAD
PTTG1,SST,0,COAD
MUS81,PPP1R1B,0,COAD
ACTR5,MUS81,0,COAD
CBX8,CDYL,0,COAD
ANO4,KRAS,0,COAD
KRAS,MARS,0,COAD
PYGO2,SUV39H1,0,COAD
CBX4,MBD1,0,COAD
CALHM1,PTTG1,0,COAD
PTEN,TMEM183A,0,COAD
HIST1H4G,PTEN,0,COAD
HTR1E,PTTG1,0,COAD
GM2A,PTEN,0,COAD
HAO2,PTEN,0,COAD
CDH18,KRAS,0,COAD
BLM,TOR1A,0,COAD
AGAP3,MUS81,0,COAD
MUS81,ZNF676,0,COAD
ACAD11,PTEN,0,COAD
GNB1,PTTG1,0,COAD
MUS81,PCDHGA5,0,COAD
PTEN,ZMAT5,0,COAD
COL7A1,PTEN,0,COAD
DIRC2,KRAS,0,COAD
KRAS,LGALS1,0,COAD
MRPS17,PTEN,0,COAD
FAM9A,KRAS,0,COAD
KRAS,SCN7A,0,COAD
NME5,PTEN,0,COAD
PTEN,WWTR1,0,COAD
BLM,MTNR1B,0,COAD
BLM,L1TD1,0,COAD
PTEN,REP15,0,COAD
BLM,ZNF600,0,COAD
BLM,C3orf39,0,COAD
OR10A2,PTEN,0,COAD
PTTG1,RNF112,0,COAD
CST13P,KRAS,0,COAD
PRKDC,PTEN,0,COAD
KBTBD4,PTTG1,0,COAD
CDC42SE2,PTEN,0,COAD
KIAA1549,PTTG1,0,COAD
KRAS,PANK3,0,COAD
BLM,PPRC1,0,COAD
BLM,MRC2,0,COAD
BLM,ZNF329,0,COAD
BLM,SCAMP3,0,COAD
PTEN,ZKSCAN1,0,COAD
GPR101,MUS81,0,COAD
PRKCSH,PTEN,0,COAD
MUS81,ROGDI,0,COAD
PI4KB,PTEN,0,COAD
KRAS,MTMR11,0,COAD
BLM,ZNF441,0,COAD
CPVL,PTTG1,0,COAD
ACMSD,BLM,0,COAD
BLM,PPAPDC1A,0,COAD
ARID4A,NAP1L4,0,COAD
ACBD3,PTEN,0,COAD
CALHM1,PTEN,0,COAD
ITPR3,PTTG1,0,COAD
EPB49,KRAS,0,COAD
BLM,KCNN2,0,COAD
KRAS,LRRTM3,0,COAD
KRAS,TMEM30B,0,COAD
MUS81,VWA2,0,COAD
MUS81,WFDC2,0,COAD
FBXW12,PTTG1,0,COAD
ASPH,PTEN,0,COAD
BLM,NHEDC1,0,COAD
GMNN,PTTG1,0,COAD
BLM,ZNF574,0,COAD
COL15A1,PTEN,0,COAD
MUS81,RPS23,0,COAD
DOT1L,MTA2,0,COAD
ELL,MUS81,0,COAD
C8B,MUS81,0,COAD
APOA5,MUS81,0,COAD
BLM,ZNF354B,0,COAD
EFCAB2,MUS81,0,COAD
BLM,NLRP1,0,COAD
PTEN,UFSP2,0,COAD
MUS81,THAP2,0,COAD
PTEN,SLC35A5,0,COAD
BLM,UBE2E2,0,COAD
C2orf34,MUS81,0,COAD
CCDC104,MUS81,0,COAD
KRAS,PAK6,0,COAD
IMMP2L,KRAS,0,COAD
KRAS,TLN1,0,COAD
KIAA1539,MUS81,1,COAD
ATF7IP,TERF2,0,COAD
CLTA,KRAS,0,COAD
DHX15,PTEN,0,COAD
KRAS,NASP,0,COAD
LDLRAP1,MUS81,0,COAD
PTTG1,TAGLN,0,COAD
PTEN,TRABD,0,COAD
BLM,SOCS5,0,COAD
BLM,RPS6KB2,0,COAD
KRAS,LARGE,0,COAD
KRAS,RNF8,0,COAD
EIF3E,PTEN,0,COAD
CPA1,KRAS,0,COAD
ALDH1L2,BLM,0,COAD
PTTG1,TGFB2,0,COAD
MUC15,PTEN,0,COAD
CELSR1,PTEN,0,COAD
BLM,C12orf43,0,COAD
SMARCD1,SUV39H1,0,COAD
COX5A,MUS81,0,COAD
MUS81,NIPSNAP3A,0,COAD
NAA25,PTTG1,0,COAD
PHF21A,PTTG1,0,COAD
ASL,PTEN,0,COAD
MUS81,OR1L6,0,COAD
KRAS,UGT1A5,0,COAD
GUSB,PTEN,0,COAD
CCDC79,PTTG1,0,COAD
FLT4,KRAS,0,COAD
PTEN,S100Z,0,COAD
BLM,FARS2,0,COAD
KRAS,ZNF680,0,COAD
PTTG1,UAP1L1,0,COAD
BLM,TUBA4B,0,COAD
FAM69A,PTEN,0,COAD
KRAS,MIER1,0,COAD
BLM,RNF168,0,COAD
FASTK,PTTG1,0,COAD
PTTG1,RAD51C,0,COAD
DPF2,MYSM1,0,COAD
BLM,IL29,0,COAD
ABCF2,KRAS,0,COAD
HNF1A,MUS81,0,COAD
KRAS,TSSK6,0,COAD
JMJD6,TERF2,0,COAD
MUS81,SFRS16,0,COAD
NUDT3,PTTG1,0,COAD
DNM1,KRAS,0,COAD
HDAC1,MUS81,0,COAD
MUS81,TOPORS,0,COAD
FASN,PTTG1,0,COAD
CDC42BPB,MUS81,0,COAD
PTTG1,RAPGEF1,0,COAD
BLM,KRT86,0,COAD
C9orf40,PTTG1,0,COAD
ADAMTS13,PTEN,0,COAD
BLM,PHYH,0,COAD
BLM,MYLK3,0,COAD
BLM,MAPK1,0,COAD
HAS2,PTEN,0,COAD
MUS81,NXT2,0,COAD
GLCCI1,PTEN,0,COAD
MUS81,TEX14,0,COAD
CROCC,PTEN,0,COAD
BLM,IQGAP3,0,COAD
PTEN,WDR16,0,COAD
KRAS,PCDH15,0,COAD
ISM2,PTTG1,0,COAD
RUVBL1,WHSC1L1,0,COAD
DNAJB14,MUS81,0,COAD
BLM,PKIB,0,COAD
BLM,MBLAC2,0,COAD
BLM,KCNIP2,0,COAD
BLM,DUSP9,0,COAD
PTEN,XPO4,0,COAD
MUS81,PAWR,0,COAD
BLM,SOX17,0,COAD
ITGA11,MUS81,0,COAD
FOLR1,PTEN,0,COAD
C5orf15,PTTG1,0,COAD
MUS81,TRAF5,0,COAD
GPATCH4,KRAS,0,COAD
PTTG1,VENTX,0,COAD
FBXO10,NAP1L4,0,COAD
BLM,SLC34A2,0,COAD
MUS81,PPA1,0,COAD
MPHOSPH6,PTTG1,0,COAD
KRAS,SURF4,1,COAD
DNAH2,KRAS,0,COAD
FREM1,PTEN,0,COAD
BLM,MIOS,0,COAD
ATAD2B,CDYL,0,COAD
BLM,TREH,0,COAD
PTEN,PTEN,0,COAD
ARHGDIB,MUS81,0,COAD
C17orf66,MUS81,0,COAD
PTTG1,TRIM55,0,COAD
MUS81,SOLH,0,COAD
CCDC122,KRAS,0,COAD
KRAS,RGS10,0,COAD
PTEN,TNFAIP3,0,COAD
PTEN,STK35,0,COAD
CBL,PTTG1,0,COAD
KAT5,PHF12,0,COAD
KRAS,MYBL1,0,COAD
F11,KRAS,0,COAD
AKR1B1,BLM,1,COAD
AUP1,PTTG1,0,COAD
MUS81,SCGN,0,COAD
C18orf45,KRAS,0,COAD
HRH4,MUS81,0,COAD
MUS81,PPIE,1,COAD
DMAP1,PTEN,0,COAD
MUS81,SLC39A7,0,COAD
OBSCN,PTEN,0,COAD
CCDC59,KRAS,0,COAD
SMARCA5,TRIM24,0,COAD
BLM,LOR,0,COAD
PTTG1,ZNF420,0,COAD
BLM,HECTD3,0,COAD
CHAF1A,ZMYND11,0,COAD
PTEN,RABGGTB,0,COAD
CCNH,PTEN,0,COAD
BLM,EFNA4,0,COAD
BLM,FGF9,0,COAD
BLM,CSK,1,COAD
HDAC2,PTTG1,0,COAD
HMX1,MUS81,0,COAD
BLM,POLE3,0,COAD
MUS81,SUN2,0,COAD
KRAS,NAE1,0,COAD
EIF4A1,PTTG1,0,COAD
KRAS,MYO18B,0,COAD
GNB2,PTEN,0,COAD
C8orf46,MUS81,0,COAD
BLM,OR3A1,0,COAD
BLM,VPS13B,0,COAD
MUS81,ZIC1,0,COAD
BLM,C18orf55,0,COAD
KRAS,PRSS27,0,COAD
ARID2,SMARCA1,0,COAD
SMARCA1,SMNDC1,0,COAD
CHD7,SMARCA1,0,COAD
BLM,CXCL2,0,COAD
NTN4,PTTG1,0,COAD
ENOX2,MUS81,0,COAD
BLM,ZNF668,0,COAD
KRAS,OR2AG1,0,COAD
MBD5,SETD8,0,COAD
PTEN,TEX9,0,COAD
PTTG1,ZFP2,0,COAD
ADAMTS10,PTEN,1,COAD
CIC,KRAS,0,COAD
NDUFB8,PTTG1,0,COAD
CCL25,KRAS,0,COAD
CYP1B1,PTEN,0,COAD
KRAS,SRA1,0,COAD
AIM2,MUS81,0,COAD
HEPH,PTEN,0,COAD
FCGR2C,PTEN,0,COAD
MUS81,UBN2,0,COAD
MUS81,NETO2,0,COAD
CXorf48,KRAS,0,COAD
G6PD,MUS81,0,COAD
BLM,PBX4,0,COAD
MED1,PTEN,0,COAD
KRAS,LINC00661,0,COAD
PTTG1,SLC25A26,0,COAD
BLM,OR2T4,0,COAD
ATG10,MUS81,0,COAD
KRAS,ZNF567,0,COAD
KRAS,NOBOX,0,COAD
FBXO32,KRAS,0,COAD
PTEN,SLC27A1,0,COAD
PTEN,TEX101,0,COAD
FKBP14,PTEN,0,COAD
BLM,ZNF764,0,COAD
HSPA12B,PTEN,0,COAD
OSM,PTTG1,0,COAD
C15orf29,PTEN,0,COAD
CFI,KRAS,0,COAD
BLM,SLC9A1,0,COAD
PHF11,UHRF2,0,COAD
KRAS,SAG,0,COAD
KRAS,TREM1,0,COAD
KRAS,TRIM42,0,COAD
GADD45G,MUS81,0,COAD
KRAS,TPST1,0,COAD
KRAS,PPP2R5E,0,COAD
MUS81,PMP22,0,COAD
KRAS,USF1,0,COAD
DAAM1,PTEN,0,COAD
EIF2AK1,MUS81,0,COAD
MUS81,NDUFS1,0,COAD
MUS81,PMCH,0,COAD
DPF2,WDR11,0,COAD
MUS81,SLCO1A2,0,COAD
BLM,LCN2,0,COAD
IRGC,PTTG1,0,COAD
AGPAT6,PTTG1,0,COAD
ANKRD46,KRAS,0,COAD
BLM,ST6GALNAC1,0,COAD
OR52K2,PTTG1,0,COAD
ARPC5L,KRAS,0,COAD
FRZB,MUS81,0,COAD
PWWP2B,SETD8,0,COAD
DMRT1,MUS81,0,COAD
KRAS,MTERFD1,0,COAD
CHIT1,MUS81,0,COAD
PSME4,PTTG1,0,COAD
BLM,MTM1,0,COAD
CASKIN1,KRAS,0,COAD
BLM,RNF20,0,COAD
KRAS,POFUT2,0,COAD
PTEN,PTH2R,0,COAD
C14orf149,MUS81,0,COAD
MUS81,PKP1,0,COAD
DNMT1,TERF2,0,COAD
BLM,GPD1L,0,COAD
ITGA7,MUS81,0,COAD
KRAS,OR2W5,0,COAD
CHAF1A,NAP1L5,0,COAD
PTTG1,SPG7,0,COAD
KRAS,OR6C3,0,COAD
BLM,GJC3,0,COAD
GNB5,PTTG1,0,COAD
BLM,PPP1R14B,0,COAD
BLM,GLTSCR2,0,COAD
DNAJC6,MUS81,0,COAD
CDK2AP2,MUS81,0,COAD
HIST1H4K,PTEN,0,COAD
C6orf94,MUS81,0,COAD
AKAP8,KRAS,0,COAD
CLPS,PTEN,0,COAD
CDCA8,PTEN,0,COAD
PTEN,TCOF1,0,COAD
PTEN,SH2D1B,0,COAD
BLM,LONRF3,0,COAD
CHAF1A,TERF2,0,COAD
C11orf70,PTTG1,0,COAD
PTTG1,VPS52,0,COAD
BLM,FAM65A,0,COAD
BLM,FOXD4,0,COAD
BLM,WDR86,0,COAD
PTTG1,SF3B4,0,COAD
LRRC36,MUS81,0,COAD
GPR44,MUS81,0,COAD
KRAS,TANC2,0,COAD
KIF1B,PTEN,0,COAD
MIP,PTTG1,0,COAD
C20orf202,PTEN,1,COAD
PHF11,SETD6,0,COAD
DNAJC3,PTTG1,0,COAD
NLRP14,PTTG1,0,COAD
PHF11,SMARCD2,0,COAD
BLM,ZNF215,0,COAD
BLM,UBN2,0,COAD
MUS81,UGT2B28,0,COAD
KRAS,OR1K1,0,COAD
BLM,ZNF343,0,COAD
PRDM16,SUV39H1,0,COAD
LIG1,PTTG1,0,COAD
DAPL1,PTEN,0,COAD
PTTG1,SPATA4,0,COAD
MUS81,ZSCAN10,0,COAD
BLM,SPEN,0,COAD
BLM,MSL2,0,COAD
PTEN,SERPINB6,0,COAD
BTLA,PTEN,0,COAD
KRAS,OR13G1,0,COAD
IGSF1,MUS81,0,COAD
KRAS,PSMD13,0,COAD
KRAS,PRSS33,0,COAD
PTEN,ZNF295,0,COAD
FAM53C,MUS81,0,COAD
MUS81,PPTC7,0,COAD
ALG10B,BLM,0,COAD
KRAS,RARRES1,0,COAD
IRF8,MUS81,0,COAD
GPR50,KRAS,0,COAD
PTTG1,ROBO3,0,COAD
DUSP10,PTTG1,0,COAD
MUS81,RPS13,0,COAD
MUS81,PCDHGA1,0,COAD
BLM,ZNF547,0,COAD
HARS2,MUS81,0,COAD
IRAK4,KRAS,0,COAD
PTEN,ZNF211,0,COAD
MUS81,ZNF540,0,COAD
GOLGA7B,KRAS,0,COAD
LGI4,PTEN,0,COAD
GPR128,MUS81,0,COAD
PTEN,SLC38A6,0,COAD
IK,MUS81,0,COAD
PDE4C,PTTG1,0,COAD
BLM,KCTD6,0,COAD
MUS81,TNFSF9,0,COAD
PTTG1,WDR69,0,COAD
GOLGA6L1,KRAS,0,COAD
ALKBH7,PTEN,0,COAD
PTEN,WDR3,0,COAD
KRAS,TEKT5,0,COAD
HMBOX1,MUS81,0,COAD
KRAS,UCA1,0,COAD
MTA2,TSPYL4,0,COAD
PTEN,SMTNL2,0,COAD
BLM,BMPER,0,COAD
DOK4,PTEN,0,COAD
MUS81,NFYC,0,COAD
MUS81,TNFRSF1A,0,COAD
DBF4B,MUS81,0,COAD
DBT,KRAS,0,COAD
EXOC3L,MUS81,0,COAD
CMBL,PTEN,0,COAD
FLYWCH1,MUS81,0,COAD
GALK2,PTEN,0,COAD
MUS81,TM9SF2,0,COAD
HTATIP2,MUS81,0,COAD
MUS81,NAP1L3,0,COAD
GLB1,PTTG1,0,COAD
CETP,KRAS,0,COAD
HDAC11,SMARCD2,0,COAD
BLM,C3orf31,0,COAD
EFHC1,MUS81,0,COAD
AP1G1,MUS81,0,COAD
MUS81,TACR2,0,COAD
MUS81,RAB1B,0,COAD
MUS81,VCX3A,0,COAD
BLM,LIMCH1,0,COAD
PIK3C2B,PTTG1,0,COAD
KRAS,NRK,0,COAD
KANK1,MUS81,0,COAD
CCBE1,PTEN,0,COAD
PTTG1,SCUBE2,0,COAD
BLM,RASD2,0,COAD
MUS81,OR51V1,0,COAD
ARF5,KRAS,0,COAD
MUS81,PI4KAP2,0,COAD
COL9A3,KRAS,0,COAD
MGST2,MUS81,0,COAD
MAN1C1,PTTG1,0,COAD
MBD4,TRIM24,0,COAD
IL28A,PTEN,0,COAD
KRAS,ZMYND11,0,COAD
ECHS1,PTTG1,0,COAD
AEN,BLM,0,COAD
PON1,PTEN,0,COAD
BLM,C12orf52,0,COAD
MUS81,SLC22A13,0,COAD
MUS81,PRF1,0,COAD
KCNA5,MUS81,0,COAD
KRAS,SLC1A2,0,COAD
GRHL3,PTEN,0,COAD
ATP8B3,PTTG1,0,COAD
AFAP1,KRAS,0,COAD
MUS81,UBXN6,0,COAD
FKBP9L,KRAS,0,COAD
MUS81,TRAF1,0,COAD
KRAS,PCIF1,0,COAD
BLM,ZNF474,0,COAD
CHI3L2,PTTG1,0,COAD
DNMT3B,HDAC5,0,COAD
KRAS,SOAT1,0,COAD
BLM,C5orf15,0,COAD
ANXA7,MUS81,0,COAD
BLM,SFRS15,0,COAD
HIST1H2BA,PTEN,0,COAD
BLM,HRH2,0,COAD
DPF2,MBD3,0,COAD
HDGF,TRIM24,0,COAD
MUS81,POLR3H,0,COAD
ITGAE,MUS81,0,COAD
KCTD2,KRAS,0,COAD
KCNS1,KRAS,0,COAD
PCNXL2,PTTG1,1,COAD
NME6,PTEN,0,COAD
OSR1,PTEN,0,COAD
BLM,ERMP1,0,COAD
PTEN,SLC22A12,0,COAD
KRAS,PHRF1,0,COAD
PTEN,TBC1D3P2,0,COAD
C8orf34,KRAS,0,COAD
INTS4,MUS81,0,COAD
DPF1,KAT5,0,COAD
MYH11,PTEN,0,COAD
KRAS,ZNF154,0,COAD
ASAH2,KRAS,0,COAD
PTEN,ZNF560,0,COAD
MYO3B,PTEN,0,COAD
BTG1,PTTG1,0,COAD
BEND5,KRAS,0,COAD
IL17RA,PTTG1,0,COAD
NECAB1,PTTG1,0,COAD
C6orf70,KRAS,0,COAD
MUS81,PLCH1,0,COAD
CLK4,KRAS,0,COAD
CRB3,PTEN,0,COAD
NME4,PTTG1,0,COAD
MUS81,PDX1,0,COAD
CBLN1,PTTG1,0,COAD
BLM,ZNF25,0,COAD
PLEKHB1,PTEN,0,COAD
AGTPBP1,PTEN,0,COAD
PNMA2,PTTG1,0,COAD
GCLM,KRAS,0,COAD
BLM,CST8,0,COAD
PSIP1,PTTG1,0,COAD
CBX4,MTF2,0,COAD
LYPLA2,PTEN,0,COAD
CPT1C,PTTG1,0,COAD
DMAP1,DPF1,0,COAD
ITIH2,MUS81,0,COAD
ACOT8,MUS81,0,COAD
FAM115A,KRAS,0,COAD
DMAP1,PHF20,0,COAD
BLM,KIF23,0,COAD
BLM,NECAP1,0,COAD
L3MBTL4,MUS81,0,COAD
C1orf162,PTTG1,0,COAD
KRAS,LRFN4,0,COAD
KAT5,RBBP4,0,COAD
LOXL3,MUS81,0,COAD
KRAS,NEDD4L,0,COAD
FBXW8,PTTG1,0,COAD
BLM,DNAJB7,0,COAD
FKBP6,PTEN,0,COAD
KRAS,PTPDC1,0,COAD
MUS81,SNX4,0,COAD
GPBP1,PTEN,0,COAD
DPF2,TSPYL1,0,COAD
FAM164C,PTEN,0,COAD
